,I1,I2,V1,V2,a1,a2,b1,b2,gammaTuple,harmonic,power,Pin,Pout,Gain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,x
1366,,,,,(-2.2372e-09-1.4298e-09j),(-9.872e-09-1.4661e-09j),(-0.004035-0.018328j),(-0.042003-0.056716j),"(51,)",2,6,-7.54244578842413,3.962827676638077,11.505273465062206,,,,,(9.994163311999023e-08-1.0004498878730961e-07j),9.994163311999023e-08,-1.0004498878730961e-07
1367,,,,,(-6.9129e-10+1.0708e-09j),(-1.6928e-09+4.0542e-09j),(-0.0088126+0.0018987j),(-0.028743+0.011793j),"(51,)",3,6,-13.911158722254841,-3.163969802568687,10.747188919686154,,,,,(9.994181851473006e-08-1.0004474599922723e-07j),9.994181851473006e-08,-1.0004474599922723e-07
1368,2.308e-07,0.014906,-0.3,3.0,(0.14142+8.1236e-09j),(-0.24162+0.089221j),(-0.071975-0.13204j),(-0.05443+0.31733j),"(51,)",1,7,1.1649912773395774,12.709156257663398,11.54416498032382,-6.924e-08,0.044718,44.65281137796854,41.72854617715462,(0.39999512844536456+0.6928064322904194j),0.39999512844536456,0.6928064322904194
1369,,,,,(-2.2617e-09-1.7583e-09j),(-1.0475e-08-2.5498e-09j),(-0.0025346-0.020114j),(-0.039597-0.06515j),"(51,)",2,7,-6.8719113972292325,4.633288539620743,11.505199936849975,,,,,(9.994039583937156e-08-1.0004083109667543e-07j),9.994039583937156e-08,-1.0004083109667543e-07
1370,,,,,(-7.9991e-10+1.1822e-09j),(-1.9922e-09+4.4993e-09j),(-0.0099131+0.0019159j),(-0.032466+0.01252j),"(51,)",3,7,-12.926844103169282,-2.1796061211697726,10.74723798199951,,,,,(9.994288496673329e-08-1.0004358652795231e-07j),9.994288496673329e-08,-1.0004358652795231e-07
1371,3.2045e-07,0.014234,-0.3,3.0,(0.15868+7.8865e-09j),(-0.24607+0.086999j),(-0.070484-0.1503j),(-0.059615+0.32075j),"(51,)",1,8,0.7531731875759397,12.823415525874305,12.070242338298364,-9.6135e-08,0.042702000000000004,47.64880061823789,44.86351906702256,(0.4000055246178707+0.6928251618079678j),0.4000055246178707,0.6928251618079678
1372,,,,,(-2.2635e-09-2.03e-09j),(-1.0894e-08-3.484e-09j),(-0.001173-0.021475j),(-0.037015-0.071913j),"(51,)",2,8,-6.358698513025631,5.146533115068449,11.505231628094082,,,,,(9.994302953689605e-08-1.0004601061966251e-07j),9.994302953689605e-08,-1.0004601061966251e-07
1373,,,,,(-9.3776e-10+1.2928e-09j),(-2.3952e-09+4.9528e-09j),(-0.011149+0.0017683j),(-0.036749+0.01277j),"(51,)",3,8,-11.957682442558838,-1.2102980842030022,10.747384358355834,,,,,(9.99420378512818e-08-1.0004463187131981e-07j),9.99420378512818e-08,-1.0004463187131981e-07
1374,4.2512e-07,0.013746,-0.3,3.0,(0.17804+7.6046e-09j),(-0.24974+0.085497j),(-0.068441-0.1703j),(-0.063534+0.32379j),"(51,)",1,9,-0.026094909170000666,12.922198267176606,12.948293176346606,-1.2753599999999998e-07,0.041238,49.935432765895506,47.52501169673607,(0.39999487022241337+0.6928154850838172j),0.39999487022241337,0.6928154850838172
1375,,,,,(-2.2582e-09-2.2436e-09j),(-1.1204e-08-4.2243e-09j),(-7.9515e-05-0.022515j),(-0.034862-0.077164j),"(51,)",2,9,-5.960806763530686,5.54467471389426,11.505481477424944,,,,,(9.994330807543787e-08-1.0004375607633205e-07j),9.994330807543787e-08,-1.0004375607633205e-07
