,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Gs,Gin,Pdel,Pin,Pout,Gain,PGain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,jx
311,"(12,)",5,3,(7.5478e-11+5.7294e-10j),(-0.0024869+0.003245j),(6.0615e-10+1.898e-09j),(-0.0064663+0.012519j),,,,,0,(5005085.087316444+4999954.292282735j),-50.779314975830644,-187.77339220829066,-40.031854852802454,147.74153735548822,10.747460123028178,,,,,(9.993791924279893e-08-1.0003822727052565e-07j),9.993791924279893e-08,-1.0003822727052565e-07
312,"(12,)",6,1,(0.12604+3.743e-09j),(-0.04532-0.13388j),(-0.088392-0.13698j),(-0.18609+0.3626j),-0.3,1.1196e-07,3.0,0.046946,0,(-0.3595684225311315-1.0622024647265582j),-26.89128843851194,-21.000132066600568,-11.56357477290253,9.436557293698035,15.32771366560941,-3.3588e-08,0.14083800000000002,43.89635625186383,49.536198339936654,(-0.19999055495426654+0.3464099348357404j),-0.19999055495426654,0.3464099348357404
313,"(12,)",6,2,(9.7712e-10-1.079e-09j),(0.010279-0.00050816j),(1.6944e-09-5.2038e-09j),(0.034502-0.01753j),,,,,0,(4998630.794787048+4999757.069321296j),-42.760681476013886,-179.7489811781536,-31.256083834402183,148.49289734375145,11.504597641611705,,,,,(9.994251970501345e-08-1.0004659525740868e-07j),9.994251970501345e-08,-1.0004659525740868e-07
314,"(12,)",6,3,(-4.3049e-11+7.4216e-10j),(-0.0039208+0.0034969j),(3.0792e-10+2.5418e-09j),(-0.011177+0.014244j),,,,,0,(5001397.641637999+4992851.720552341j),-48.601054578681854,-185.5857614201728,-37.85398702963897,147.73177439053381,10.747067549042876,,,,,(9.994536846052751e-08-1.0004278175254956e-07j),9.994536846052751e-08,-1.0004278175254956e-07
315,"(12,)",7,1,(0.14142+3.6912e-09j),(-0.045712-0.15012j),(-0.091123-0.1441j),(-0.19808+0.37741j),-0.3,1.7251e-07,3.0,0.048365,0,(-0.3232357793683953-1.0615188714953478j),-26.358257807071936,-20.00008329848046,-11.174590030771101,8.825493267709362,15.183667776300837,-5.1753e-08,0.145095,45.69632550087873,52.5882295637341,(-0.20000186190654823+0.34641204209334425j),-0.20000186190654823,0.34641204209334425
316,"(12,)",7,2,(1.0471e-09-1.294e-09j),(0.011702-0.0012313j),(1.6044e-09-6.0475e-09j),(0.038274-0.022198j),,,,,0,(4997182.944736529+4999574.759324868j),-41.5972792728828,-178.5841628857346,-30.092948848218267,148.4912140375163,11.504330424664538,,,,,(9.994083856489422e-08-1.0004215042944239e-07j),9.994083856489422e-08,-1.0004215042944239e-07
317,"(12,)",7,3,(-2.1186e-10+9.0843e-10j),(-0.0056036+0.0034811j),(-1.6675e-10+3.2107e-09j),(-0.016896+0.015212j),,,,,0,(4998696.454714667+5002670.7276335545j),-46.623571740753576,-183.6144599082163,-35.87640469285452,147.73805521536178,10.747167047899058,,,,,(9.994312100748536e-08-1.000452913845959e-07j),9.994312100748536e-08,-1.000452913845959e-07
318,"(12,)",8,1,(0.15868+3.623e-09j),(-0.04537-0.16808j),(-0.09343-0.15022j),(-0.20845+0.39006j),-0.3,2.5547e-07,3.0,0.049542,0,(-0.2859213753316225-1.0592387129071519j),-25.90914247519036,-18.999856120597553,-10.853845214274116,8.146010906323438,15.055297260916245,-7.664099999999999e-08,0.148626,46.80326806884394,55.27397386729105,(-0.19999840734735655+0.34640739376392476j),-0.19999840734735655,0.34640739376392476
319,"(12,)",8,2,(1.0945e-09-1.5192e-09j),(0.013064-0.0021235j),(1.4189e-09-6.8933e-09j),(0.041577-0.027353j),,,,,0,(4998595.153438666+4998050.029332134j),-40.575520477476616,-177.562306087631,-29.07133175980587,148.4909743278251,11.50418871767074,,,,,(9.994456082821339e-08-1.0004368828116214e-07j),9.994456082821339e-08,-1.0004368828116214e-07
320,"(12,)",8,3,(-4.1991e-10+1.0724e-09j),(-0.0074614+0.003266j),(-7.6982e-10+3.8942e-09j),(-0.02333+0.015611j),,,,,0,(5002822.775180826+4998754.83818894j),-44.79259464827712,-181.7836655995693,-34.045080654757676,147.73858494481163,10.747513993519437,,,,,(9.994039877710925e-08-1.0004416779642296e-07j),9.994039877710925e-08,-1.0004416779642296e-07
321,"(12,)",9,1,(0.17804+3.4167e-09j),(-0.044141-0.1879j),(-0.095257-0.15501j),(-0.21654+0.4j),-0.3,3.6205e-07,3.0,0.050413,0,(-0.24792745229116833-1.0553808085424978j),-25.562211517494443,-17.99994824443011,-10.610112713416127,7.389835531013985,14.952098804078314,-1.08615e-07,0.151239,46.97509698259047,57.454616683196804,(-0.19999581854226242+0.34641023636785373j),-0.19999581854226242,0.34641023636785373
322,"(12,)",9,2,(1.1043e-09-1.741e-09j),(0.014224-0.0031819j),(1.1125e-09-7.6702e-09j),(0.043933-0.032768j),,,,,0,(4998695.148247413+4999391.698903148j),-39.73780080606281,-176.72583896807237,-28.233517084296693,148.49232188377567,11.504283721766114,,,,,(9.994258861726442e-08-1.000450972205285e-07j),9.994258861726442e-08,-1.000450972205285e-07
323,"(12,)",9,3,(-6.594e-10+1.2369e-09j),(-0.009486+0.0028923j),(-1.4828e-09+4.6002e-09j),(-0.030425+0.015573j),,,,,0,(5004532.134255579+5001222.015257394j),-43.08257418533,-180.07727125734965,-32.33513182625433,147.74213943109532,10.747442359075674,,,,,(9.9942825834785e-08-1.0004241161133585e-07j),9.9942825834785e-08,-1.0004241161133585e-07
324,"(13,)",1,1,(0.070879+5.18e-09j),(-0.047706-0.066812j),(-0.11164-0.033768j),(-0.08442+0.2791j),-0.3,8.625e-10,3.0,0.035805,0,(-0.6730626120963057-0.9426204731096046j),-30.665448200003166,-25.999948323514058,-14.472114938236293,11.527833385277763,16.193333261766874,-2.5874999999999996e-10,0.10741499999999998,30.90627302285528,33.244788426197466,0.4j,0.0,0.4
325,"(13,)",1,2,(7.7452e-11-2.9432e-10j),(0.0018587-0.0010852j),(-1.872e-10-1.1292e-09j),(0.0047135-0.0065799j),,,,,0,(5002598.95151148+4998772.444983462j),-56.35221624254,-193.34310801981525,-44.84708035383175,148.4960276659835,11.505135888708244,,,,,(9.994564756131147e-08-1.0004617240083309e-07j),9.994564756131147e-08,-1.0004617240083309e-07
326,"(13,)",1,3,(3.2766e-11+1.2619e-10j),(-0.00046627+0.00079537j),(1.8844e-10+4.0788e-10j),(-0.0010988+0.0029813j),,,,,0,(5006018.710890513+4994826.9203664195j),-63.716002639177425,-200.70644259634372,-52.96901683744505,147.73742575889867,10.746985801732382,,,,,(9.994093008344788e-08-1.0004195953969493e-07j),9.994093008344788e-08,-1.0004195953969493e-07
327,"(13,)",2,1,(0.079527+5.4828e-09j),(-0.051094-0.07577j),(-0.12024-0.037759j),(-0.094398+0.3006j),-0.3,5.2719e-09,3.0,0.035918,0,(-0.6424736909952887-0.9527581384617206j),-29.941449653968387,-25.00000795954488,-13.799267362423402,11.200740597121479,16.142182291544987,-1.5815700000000002e-09,0.10775399999999999,35.758950477012434,38.693664607810376,(6.056128439864888e-07+0.39999980981822614j),6.056128439864888e-07,0.39999980981822614
328,"(13,)",2,2,(2.0759e-11-4.0353e-10j),(0.0021197-0.0019118j),(-5.4849e-10-1.4154e-09j),(0.00434-0.0098181j),,,,,0,(4994699.01143153+4995948.36374419j),-53.89973254604428,-190.88130526940137,-42.39461842228881,148.48668684711257,11.50511412375547,,,,,(9.993945518208125e-08-1.0004249656147653e-07j),9.993945518208125e-08,-1.0004249656147653e-07
329,"(13,)",2,3,(1.0475e-11+2.2805e-10j),(-0.0010879+0.0011936j),(1.7478e-10+7.6738e-10j),(-0.0029656+0.0047096j),,,,,0,(5004261.352069872+5000305.361380978j),-58.84687877903784,-195.84054519290677,-48.1001706093534,147.74037458355338,10.746708169684439,,,,,(9.994233203105098e-08-1.000443731678454e-07j),9.994233203105098e-08,-1.000443731678454e-07
330,"(13,)",3,1,(0.089231+5.6924e-09j),(-0.053758-0.086058j),(-0.12764-0.041919j),(-0.1048+0.31909j),-0.3,1.6153e-08,3.0,0.035971,0,(-0.6024588482700127-0.9644405707720775j),-29.32979281066705,-23.999984754759524,-13.244402535245797,10.755582219513727,16.085390275421258,-4.8458999999999996e-09,0.10791300000000001,40.21300704178364,43.902169311853065,(6.5450389293568585e-06+0.40001038603503786j),6.5450389293568585e-06,0.40001038603503786
331,"(13,)",3,2,(-4.7318e-11-5.6777e-10j),(0.0026008-0.0030777j),(-1.0367e-09-1.8753e-09j),(0.0042004-0.014559j),,,,,0,(5004165.856817612+4997775.719063874j),-50.90540308975542,-187.89679117350627,-39.40043280429465,148.4963583692116,11.504970285460765,,,,,(9.994405201523128e-08-1.0004155478293684e-07j),9.994405201523128e-08,-1.0004155478293684e-07
332,"(13,)",3,3,(-3.5816e-11+3.6273e-10j),(-0.0019932+0.0016343j),(9.916e-11+1.2523e-09j),(-0.0057693+0.0067546j),,,,,0,(4999389.536954044+5001356.0067941835j),-54.78614574278517,-191.7764935009954,-44.03901014258664,147.73748335840875,10.747135600198538,,,,,(9.994623491430482e-08-1.0004734745078892e-07j),9.994623491430482e-08,-1.0004734745078892e-07
333,"(13,)",4,1,(0.10012+5.7944e-09j),(-0.055627-0.097828j),(-0.13372-0.04626j),(-0.11565+0.3343j),-0.3,3.4323e-08,3.0,0.03618,0,(-0.5556033326183715-0.9771074388794652j),-28.793164704807978,-22.999883137916086,-12.793843626351562,10.206039511564523,15.999321078456415,-1.02969e-08,0.10854,43.8024562833978,48.420115395245986,0.4000000000000001j,0.0,0.4000000000000001
334,"(13,)",4,2,(-9.2904e-11-7.9325e-10j),(0.0035031-0.0044324j),(-1.539e-09-2.5802e-09j),(0.0052169-0.020595j),,,,,0,(5001827.498937144+5001941.105529476j),-47.96995966635093,-184.9629324618732,-36.46497237111557,148.49796009075763,11.50498729523536,,,,,(9.994107460212402e-08-1.0004285467792282e-07j),9.994107460212402e-08,-1.0004285467792282e-07
335,"(13,)",4,3,(-9.9983e-11+5.1908e-10j),(-0.0030924+0.0020955j),(-2.2214e-11+1.8204e-09j),(-0.0092181+0.0089867j),,,,,0,(4998984.885526279+4994579.822359609j),-51.56329471562177,-188.5474041797735,-40.81618004804561,147.73122413172788,10.747114667576161,,,,,(9.994415817797882e-08-1.0004576145864739e-07j),9.994415817797882e-08,-1.0004576145864739e-07
336,"(13,)",5,1,(0.11233+5.805e-09j),(-0.05679-0.11104j),(-0.13882-0.050528j),(-0.12632+0.34704j),-0.3,6.3442e-08,3.0,0.036495,0,(-0.5055640144069715-0.9885159535760785j),-28.3313243717646,-22.000384778962697,-12.419612325709238,9.58077245325346,15.911712046055369,-1.90326e-08,0.109485,46.55953049093481,52.3219768991186,(3.7045752559832365e-06+0.40001017761080465j),3.7045752559832365e-06,0.40001017761080465
