,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Gs,Gin,Pdel,Pin,Pout,Gain,PGain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,jx
0,"(1,)",1,1,(0.070879+5.2789e-09j),(-0.031355-0.049415j),(1.6538e-08+3.0618e-08j),(-0.070526+0.23576j),-0.3,1.3059e-10,3.0,0.036118,0,(-0.4423736745765595-0.6971740242491234j),-30.972210816767507,-25.999948323514058,-15.188678361877708,10.811269961636347,15.7835324548898,-3.9177e-11,0.10835399999999999,25.62566293583936,27.94391267327408,(9.994172839779007e-08-1.0004449583043154e-07j),9.994172839779007e-08,-1.0004449583043154e-07
1,"(1,)",1,2,(2.7938e-10-1.193e-11j),(0.0014568+0.0013364j),(9.4002e-10-4.7076e-10j),(0.0070532+0.00235j),,,,,0,(5001022.891221197+4997001.228048782j),-57.090497482134154,-194.07848183041864,-45.58539507697979,148.49308675343883,11.505102405154357,,,,,(9.994300791428712e-08-1.0004339428891494e-07j),9.994300791428712e-08,-1.0004339428891494e-07
2,"(1,)",1,3,(9.5895e-12+7.2116e-11j),(-0.00031281+0.00040789j),(7.613e-11+2.3866e-10j),(-0.00081349+0.0015736j),,,,,0,(4990992.064023186+5001263.497669732j),-68.79057160426055,-205.77354689690344,-58.04379417484,147.72975272206344,10.746777429420554,,,,,(9.994457850366947e-08-1.0004697201763476e-07j),9.994457850366947e-08,-1.0004697201763476e-07
3,"(1,)",2,1,(0.079527+5.822e-09j),(-0.034647-0.055967j),(1.8155e-08+3.3985e-08j),(-0.079287+0.26068j),-0.3,9.1593e-10,3.0,0.036861,0,(-0.4356634111336158-0.7037483805948623j),-30.017790279123275,-25.000007959544877,-14.303891615269436,10.696116344275444,15.713898663853838,-2.74779e-10,0.11058299999999999,30.708131919010384,33.56776844948976,(9.99421506801004e-08-1.0004263196629246e-07j),9.99421506801004e-08,-1.0004263196629246e-07
4,"(1,)",2,2,(3.4238e-10-3.9746e-12j),(0.0017308+0.0016948j),(1.17e-09-5.3905e-10j),(0.0085443+0.0031594j),,,,,0,(4997064.502632607+5008065.110614415j),-55.32538730007336,-192.3195469766763,-43.82020606521849,148.49934091145778,11.505181234854865,,,,,(9.994058511967621e-08-1.0004357110905575e-07j),9.994058511967621e-08,-1.0004357110905575e-07
5,"(1,)",2,3,(2.0572e-11+1.1746e-10j),(-0.00048483+0.00069041j),(1.4128e-10+3.861e-10j),(-0.0012255+0.0026365j),,,,,0,(5001500.832051693+5003583.135679955j),-64.48717105184399,-201.4812860394576,-53.740200257965014,147.74108578149256,10.746970793878962,,,,,(9.994271371081154e-08-1.0004164447282365e-07j),9.994271371081154e-08,-1.0004164447282365e-07
6,"(1,)",3,1,(0.089231+6.3331e-09j),(-0.037893-0.063752j),(1.9637e-08+3.7452e-08j),(-0.089226+0.28542j),-0.3,4.9211e-09,3.0,0.037689,0,(-0.42466188347937195-0.7144601910835229j),-29.097464614968438,-23.99998475475952,-13.49566892224821,10.504315832511308,15.601795692720227,-1.47633e-09,0.113067,36.024518256873435,39.54551525909337,(9.994222398463509e-08-1.0004360198042552e-07j),9.994222398463509e-08,-1.0004360198042552e-07
7,"(1,)",3,2,(4.0587e-10+1.9592e-11j),(0.0019316+0.0021245j),(1.4216e-09-5.5742e-10j),(0.0098934+0.004326j),,,,,0,(5000182.777502524+4993067.777916995j),-53.84861521876924,-190.83245299124434,-42.34355136315934,148.488901628085,11.505063855609896,,,,,(9.994591955424158e-08-1.0004508540963158e-07j),9.994591955424158e-08,-1.0004508540963158e-07
8,"(1,)",3,3,(4.1358e-11+2.0236e-10j),(-0.00080471+0.0012196j),(2.6398e-10+6.6135e-10j),(-0.0019893+0.004626j),,,,,0,(5005081.826694342+4999556.108857603j),-59.716357078212845,-196.7100859721363,-48.96928862474891,147.7407973473874,10.747068453463928,,,,,(9.994284212990508e-08-1.0004243317099442e-07j),9.994284212990508e-08,-1.0004243317099442e-07
9,"(1,)",4,1,(0.10012+6.7728e-09j),(-0.040741-0.073179j),(2.0766e-08+4.0791e-08j),(-0.10029+0.30775j),-0.3,1.5696e-08,3.0,0.038617,0,(-0.40692174341117393-0.730912876987619j),-28.226050255037535,-22.99988313791608,-12.80800734568038,10.191875792235699,15.418042909357155,-4.7088e-09,0.115851,40.89051117383444,45.2167640331106,(9.99426681658984e-08-1.0004630443658147e-07j),9.99426681658984e-08,-1.0004630443658147e-07
10,"(1,)",4,2,(4.6254e-10+5.8608e-11j),(0.0020197+0.0026065j),(1.6778e-09-5.0986e-10j),(0.010936+0.0058455j),,,,,0,(5000290.0184780015+5001606.353173869j),-52.646793957792866,-189.63814108770202,-41.141697740180874,148.4964433475211,11.505096217611994,,,,,(9.994431501840869e-08-1.0004430261888334e-07j),9.994431501840869e-08,-1.0004430261888334e-07
11,"(1,)",4,3,(6.867e-11+3.5653e-10j),(-0.0014405+0.0021251j),(4.4931e-10+1.1677e-09j),(-0.0035963+0.0080837j),,,,,0,(4996940.882823982+5002776.569779606j),-54.82072736648376,-191.81018346791012,-44.07381512268161,147.7363683452285,10.74691224380215,,,,,(9.994283309854953e-08-1.0004507968780557e-07j),9.994283309854953e-08,-1.0004507968780557e-07
12,"(1,)",5,1,(0.11233+7.067e-09j),(-0.042906-0.084504j),(2.1449e-08+4.3813e-08j),(-0.11199+0.32627j),-0.3,3.5118e-08,3.0,0.039702,0,(-0.38196390382254936-0.7522834265170576j),-27.403848550604867,-22.000384778962694,-12.255053955386435,9.745330823576255,15.14879459521843,-1.0535399999999998e-08,0.119106,44.655955241548526,49.95292974325291,(9.994459126479564e-08-1.0004534519184868e-07j),9.994459126479564e-08,-1.0004534519184868e-07
13,"(1,)",5,2,(5.1002e-10+1.0571e-10j),(0.0020182+0.0030781j),(1.9118e-09-4.1974e-10j),(0.011655+0.0074666j),,,,,0,(4993487.873087616+5000271.355899588j),-51.69160229995073,-188.6758819872531,-40.1865910641481,148.48929092310496,11.505011235802634,,,,,(9.994302526767385e-08-1.0004072007409812e-07j),9.994302526767385e-08,-1.0004072007409812e-07
14,"(1,)",5,3,(7.8348e-11+5.8921e-10j),(-0.0025547+0.0033404j),(6.2545e-10+1.9517e-09j),(-0.0066384+0.012883j),,,,,0,(5004266.213495876+5001229.187038534j),-50.534307209170386,-187.52877958585512,-39.787278959810514,147.7415006260446,10.747028249359868,,,,,(9.994172284583201e-08-1.000468161872057e-07j),9.994172284583201e-08,-1.000468161872057e-07
15,"(1,)",6,1,(0.12604+7.2618e-09j),(-0.04438-0.097703j),(2.1821e-08+4.6527e-08j),(-0.12371+0.3417j),-0.3,6.3655e-08,3.0,0.040836,0,(-0.35211048579151366-0.7751745274757542j),-26.604868484408506,-21.000132066600553,-11.802486590844108,9.197645475756445,14.8023818935644,-1.9096499999999998e-08,0.12250799999999999,47.41607588892044,53.89976740294404,(9.994316790527714e-08-1.0004380831595503e-07j),9.994316790527714e-08,-1.0004380831595503e-07
16,"(1,)",6,2,(5.2293e-10+1.556e-10j),(0.0018411+0.0033956j),(2.036e-09-2.7152e-10j),(0.011534+0.0088289j),,,,,0,(5009359.643977289+5002856.289364033j),-51.27268491266057,-188.27299093755127,-39.76783291456985,148.50515802298142,11.50485199809072,,,,,(9.994188123956139e-08-1.0004307918120025e-07j),9.994188123956139e-08,-1.0004307918120025e-07
17,"(1,)",6,3,(4.3329e-11+8.6815e-10j),(-0.0041226+0.0045536j),(6.7446e-10+2.9166e-09j),(-0.011221+0.017951j),,,,,0,(4995725.8042965485+4998053.105309411j),-47.243304861827234,-184.22759988874697,-36.49607329470364,147.73152659404332,10.747231567123599,,,,,(9.993941022888085e-08-1.0004345842450402e-07j),9.993941022888085e-08,-1.0004345842450402e-07
18,"(1,)",7,1,(0.14142+7.3589e-09j),(-0.045161-0.1128j),(2.2e-08+4.8947e-08j),(-0.13493+0.35469j),-0.3,1.1575e-07,3.0,0.041956,0,(-0.319339597437674-0.7976240818131229j),-25.82008753167497,-20.000083298480455,-11.426340249769133,8.573743048711322,14.39374728190584,-3.4725e-08,0.125868,49.2625149362813,57.20719364731192,(9.99405693731902e-08-1.0004505631826256e-07j),9.99405693731902e-08,-1.0004505631826256e-07
19,"(1,)",7,2,(5.0009e-10+2.056e-10j),(0.0014718+0.0035267j),(2.0311e-09-6.3058e-11j),(0.010467+0.0098463j),,,,,0,(4997657.4931754805+4997463.695341081j),-51.36563877263433,-188.35110010173722,-39.860937192543474,148.49016290919377,11.50470158009085,,,,,(9.994123437695416e-08-1.0003911111548715e-07j),9.994123437695416e-08,-1.0003911111548715e-07
20,"(1,)",7,3,(-5.0838e-11+1.1598e-09j),(-0.0060513+0.0055413j),(5.329e-10+3.9631e-09j),(-0.017164+0.022473j),,,,,0,(4996908.126210599+4998505.936092175j),-44.728585530536485,-181.7143014763646,-33.981362319547486,147.7329391568171,10.747223210988997,,,,,(9.994020824094135e-08-1.0004332907255449e-07j),9.994020824094135e-08,-1.0004332907255449e-07
21,"(1,)",8,1,(0.15868+7.4237e-09j),(-0.045235-0.12992j),(2.2029e-08+5.1085e-08j),(-0.14547+0.36552j),-0.3,1.9047e-07,3.0,0.043049,0,(-0.28507062060870536-0.8187547131568014j),-25.048769259527617,-18.999856120597546,-11.11353339431221,7.886322726285337,13.935235865215411,-5.7141e-08,0.12914699999999998,50.170367449494314,59.91869393017139,(9.994437707096683e-08-1.0004352301519354e-07j),9.994437707096683e-08,-1.0004352301519354e-07
22,"(1,)",8,2,(4.3843e-10+2.4909e-10j),(0.00094248+0.0034352j),(1.8853e-09+1.8284e-10j),(0.0085075+0.010346j),,,,,0,(4990372.350498931+4999995.783167714j),-51.9760713016385,-188.9574052103162,-40.47165746020652,148.48574775010965,11.504413841431978,,,,,(9.993938802622725e-08-1.0004500834785155e-07j),9.993938802622725e-08,-1.0004500834785155e-07
23,"(1,)",8,3,(-1.9628e-10+1.4394e-09j),(-0.008175+0.0062267j),(2.161e-10+5.0036e-09j),(-0.023952+0.026088j),,,,,0,(5007254.549407599+4996648.65710871j),-42.773561336758235,-179.76665588209073,-32.02634789219738,147.74030798989335,10.747213444560854,,,,,(9.994393988169399e-08-1.0004435940073346e-07j),9.994393988169399e-08,-1.0004435940073346e-07
24,"(1,)",9,1,(0.17804+7.3494e-09j),(-0.044535-0.14921j),(2.1979e-08+5.2916e-08j),(-0.15489+0.37442j),-0.3,2.9319e-07,3.0,0.044102,0,(-0.2501404524787255-0.8380700862818343j),-24.28800786513353,-17.999948244430108,-10.85706441772243,7.142883826707674,13.4309434474111,-8.7957e-08,0.132306,50.06689299804871,62.04603287076803,(9.994126345067964e-08-1.0004514260957153e-07j),9.994126345067964e-08,-1.0004514260957153e-07
25,"(1,)",9,2,(3.3842e-10+2.8766e-10j),(0.0002564+0.0031328j),(1.6049e-09+4.6669e-10j),(0.0056861+0.010361j),,,,,0,(5007959.77736249+5000325.898126309j),-53.06265279560431,-190.05954923207074,-41.558893823787585,148.5006554082832,11.50375897181673,,,,,(9.994839393620912e-08-1.0004665932239369e-07j),9.994839393620912e-08,-1.0004665932239369e-07
26,"(1,)",9,3,(-3.7973e-10+1.7009e-09j),(-0.010404+0.0065919j),(-2.5799e-10+5.9969e-09j),(-0.031291+0.028681j),,,,,0,(4992294.101338991+5002220.09577197j),-41.200548311702676,-178.18548642336896,-30.453411433986076,147.73207498938288,10.7471368777166,,,,,(9.994294904731159e-08-1.0004270487916832e-07j),9.994294904731159e-08,-1.0004270487916832e-07
27,"(2,)",1,1,(0.070879+4.0879e-09j),(-0.021668-0.051746j),(0.036311-0.02926j),(-0.084079+0.21748j),-0.3,9.8603e-10,3.0,0.037343,0,(-0.30570412935307584-0.7300610723953794j),-30.27639330047366,-25.999948323514065,-15.834244559941567,10.165703763572498,14.442148740532092,-2.95809e-10,0.112029,21.05185250203072,23.294054360924406,(-0.1732022559413868-0.10000150598999513j),-0.1732022559413868,-0.10000150598999513
28,"(2,)",1,2,(3.9868e-10+3.5393e-11j),(0.0018172+0.0021696j),(1.4223e-09-4.9201e-10j),(0.0095699+0.0046567j),,,,,0,(5001734.814724231+4997927.158880468j),-53.974310966834,-190.96371802892844,-42.46923373551505,148.4944842934134,11.505077231318952,,,,,(9.994121643930797e-08-1.0004349706819564e-07j),9.994121643930797e-08,-1.0004349706819564e-07
29,"(2,)",1,3,(-1.8299e-11+9.3058e-11j),(-0.00055635+0.00037359j),(-5.3682e-12+3.2654e-10j),(-0.0016605+0.0016051j),,,,,0,(4996994.1053030575+4995916.577479201j),-66.48691958950876,-203.47045979694113,-55.7400904381912,147.7303693587499,10.746829151317556,,,,,(9.994049506384072e-08-1.0004547508161954e-07j),9.994049506384072e-08,-1.0004547508161954e-07
30,"(2,)",2,1,(0.079527+4.4895e-09j),(-0.023861-0.05845j),(0.040283-0.032261j),(-0.09378+0.2404j),-0.3,4.3661e-09,3.0,0.038571,0,(-0.30003650709381774-0.7349704962212343j),-29.320380417307433,-25.000007959544885,-14.953704268465822,10.046303691079066,14.366676148841611,-1.3098299999999998e-09,0.11571300000000001,24.88865229533414,27.621510197644177,(-0.1732066379041901-0.09999867511374814j),-0.1732066379041901,-0.09999867511374814
31,"(2,)",2,2,(5.1635e-10+4.6122e-11j),(0.0023498+0.0028131j),(1.8429e-09-6.348e-10j),(0.012386+0.0060473j),,,,,0,(4997552.401743081+5001651.763584401j),-51.727893622633545,-188.71690311521036,-40.223156354703605,148.49374676050675,11.504737267929945,,,,,(9.99423633766779e-08-1.0004694445727308e-07j),9.99423633766779e-08,-1.0004694445727308e-07
32,"(2,)",2,3,(-2.4582e-11+1.3895e-10j),(-0.00081827+0.00057193j),(1.0916e-12+4.8653e-10j),(-0.0024286+0.002437j),,,,,0,(5001381.14604985+5004145.726288611j),-63.02478732539147,-200.01928695450846,-52.27785891325097,147.7414280412575,10.746928412140509,,,,,(9.994220310129935e-08-1.000456440097725e-07j),9.994220310129935e-08,-1.000456440097725e-07
33,"(2,)",3,1,(0.089231+4.9199e-09j),(-0.02607-0.066202j),(0.044487-0.035294j),(-0.1044+0.26404j),-0.3,1.2363e-08,3.0,0.040184,0,(-0.2921630784162185-0.7419170306573597j),-28.386587066486353,-23.999984754759524,-14.123354856807742,9.876629897951785,14.263232209678613,-3.7089e-09,0.12055199999999999,28.79651545971862,32.09889591006371,(-0.17320863281138282-0.10000007095323296j),-0.17320863281138282,-0.10000007095323296
34,"(2,)",3,2,(6.7369e-10+6.1799e-11j),(0.003054+0.0036779j),(2.406e-09-8.2088e-10j),(0.016132+0.0079346j),,,,,0,(4992031.808992873+5001406.323733541j),-49.42070349243338,-186.40470592114795,-37.91559582616775,148.4891100949802,11.505107666265634,,,,,(9.993906990538247e-08-1.0004069824394049e-07j),9.993906990538247e-08,-1.0004069824394049e-07
35,"(2,)",3,3,(-3.1818e-11+2.1198e-10j),(-0.0012192+0.00090112j),(2.1201e-11+7.3857e-10j),(-0.003589+0.0037973j),,,,,0,(5001575.601307054+5000754.163211681j),-59.39591931773343,-196.38764276244373,-48.64860853503524,147.7390342274085,10.747310782698188,,,,,(9.994288155021581e-08-1.0004371576744649e-07j),9.994288155021581e-08,-1.0004371576744649e-07
36,"(2,)",4,1,(0.10012+5.3101e-09j),(-0.028199-0.075223j),(0.048853-0.03823j),(-0.11597+0.28767j),-0.3,2.6024e-08,3.0,0.042224,0,(-0.28165205742737603-0.7513283909748243j),-27.483215063843872,-22.999883137916086,-13.35569953141868,9.64418360649741,14.127515532425196,-7.8072e-09,0.126672,32.49767387070543,36.454355063076285,(-0.17320763822445095-0.09999690685546085j),-0.17320763822445095,-0.09999690685546085
37,"(2,)",4,2,(8.687e-10+8.8622e-11j),(0.0039017+0.0047878j),(3.1181e-09-1.0319e-09j),(0.020746+0.010442j),,,,,0,(5001630.777311914+5001203.496319861j),-47.19577669873084,-184.1879382200048,-35.69093386326221,148.4970043567426,11.504842835468637,,,,,(9.994404261016237e-08-1.0004413828860095e-07j),9.994404261016237e-08,-1.0004413828860095e-07
38,"(2,)",4,3,(-3.822e-11+3.19e-10j),(-0.0017862+0.001405j),(6.5021e-11+1.1056e-09j),(-0.0052063+0.005851j),,,,,0,(5003436.503806304+4999901.74553142j),-55.87998733684131,-192.87258700513627,-45.132879183640384,147.7397078214959,10.747108153200934,,,,,(9.994083280959734e-08-1.0004152415939267e-07j),9.994083280959734e-08,-1.0004152415939267e-07
39,"(2,)",5,1,(0.11233+5.6765e-09j),(-0.030207-0.085685j),(0.053367-0.041031j),(-0.12851+0.31109j),-0.3,4.5917e-08,3.0,0.044528,0,(-0.26891306267264087-0.762797102052123j),-26.61180402172557,-22.000384778962697,-12.645598841161211,9.354785937801486,13.966205180564357,-1.37751e-08,0.13358399999999998,35.985671805755175,40.70855362543419,(-0.1732034051867132-0.09999881191762987j),-0.1732034051867132,-0.09999881191762987
40,"(2,)",5,2,(1.071e-09+1.3709e-10j),(0.0046647+0.0060346j),(3.8822e-09-1.1748e-09j),(0.02528+0.013551j),,,,,0,(4994856.623615618+4995196.176908063j),-45.36287457931222,-182.3439302999479,-33.85784274736484,148.48608755258306,11.505031831947381,,,,,(9.994104967990943e-08-1.0004355871093563e-07j),9.994104967990943e-08,-1.0004355871093563e-07
41,"(2,)",5,3,(-4.2129e-11+4.5558e-10j),(-0.0024872+0.0020663j),(1.3449e-10+1.5701e-09j),(-0.0071831+0.00852j),,,,,0,(4997650.852104141+4997264.9529209025j),-52.81674409231804,-189.80202694351692,-42.06952721067516,147.73249973284177,10.747216881642876,,,,,(9.993932005570628e-08-1.0004273825025162e-07j),9.993932005570628e-08,-1.0004273825025162e-07
42,"(2,)",6,1,(0.12604+6.0268e-09j),(-0.031927-0.097852j),(0.057883-0.043538j),(-0.1418+0.33323j),-0.3,7.2739e-08,3.0,0.046923,0,(-0.25330851062318754-0.7763567000425283j),-25.77431960194157,-21.000132066600557,-12.00992282895061,8.99020923764995,13.76439677299096,-2.18217e-08,0.140769,39.07727985813638,44.71988639792853,(-0.17320677420732508-0.09999783758185428j),-0.17320677420732508,-0.09999783758185428
43,"(2,)",6,2,(1.2434e-09+2.1829e-10j),(0.005122+0.0073003j),(4.5977e-09-1.1623e-09j),(0.028793+0.017193j),,,,,0,(4996113.975974568+4994127.617970493j),-44.00503031859931,-180.98625035152037,-32.50017976502516,148.48607058649523,11.504850553574153,,,,,(9.994179663971626e-08-1.0004512588568896e-07j),9.994179663971626e-08,-1.0004512588568896e-07
44,"(2,)",6,3,(-4.6911e-11+6.3234e-10j),(-0.0033981+0.0029212j),(2.2301e-10+2.1724e-09j),(-0.0097539+0.011973j),,,,,0,(4990865.143046657+5003595.4158752225j),-49.9825562353237,-186.967450494123,-39.23557465309092,147.7318758410321,10.746981582232777,,,,,(9.99404529207364e-08-1.0004336287844072e-07j),9.99404529207364e-08,-1.0004336287844072e-07
45,"(2,)",7,1,(0.14142+6.2582e-09j),(-0.033169-0.11196j),(0.062221-0.045643j),(-0.15532+0.35319j),-0.3,1.0858e-07,3.0,0.049233,0,(-0.2345425325591776-0.7916843341266153j),-24.97273058192906,-20.000083298480455,-11.459590431166722,8.540492867313734,13.513140150762336,-3.2574e-08,0.147699,41.609329044204756,48.37972572935497,(-0.17320651326810782-0.09999876655397236j),-0.17320651326810782,-0.09999876655397236
46,"(2,)",7,2,(1.3556e-09+3.272e-10j),(0.0051409+0.0084108j),(5.153e-09-9.6123e-10j),(0.030563+0.020976j),,,,,0,(4998694.819055909+4997954.452054371j),-43.13495962930024,-180.1217488026395,-31.630149604424798,148.49159919821471,11.504810024875443,,,,,(9.994136045915404e-08-1.000425343386191e-07j),9.994136045915404e-08,-1.000425343386191e-07
47,"(2,)",7,3,(-7.1202e-11+8.605e-10j),(-0.004663+0.0039492j),(2.8226e-10+2.9646e-09j),(-0.013421+0.016229j),,,,,0,(5003556.734228824+5004923.594897663j),-47.28858593950528,-184.28564886264948,-36.541327659367305,147.74432120328217,10.747258280137984,,,,,(9.994118141278475e-08-1.0004132082944015e-07j),9.994118141278475e-08,-1.0004132082944015e-07
48,"(2,)",8,1,(0.15868+6.4435e-09j),(-0.03375-0.12821j),(0.066199-0.047328j),(-0.16833+0.37043j),-0.3,1.6948e-07,3.0,0.051417,0,(-0.21269224354807326-0.8079783125127146j),-24.200749492803233,-18.999856120597546,-10.998210336781955,8.001645783815592,13.202539156021277,-5.0844e-08,0.154251,43.35524055435621,51.5170490353385,(-0.1732069123800605-0.10000021715051269j),-0.1732069123800605,-0.10000021715051269
49,"(2,)",8,2,(1.3965e-09+4.4819e-10j),(0.0047362+0.0092254j),(5.4811e-09-6.0573e-10j),(0.030424+0.024394j),,,,,0,(4996933.03620289+5002380.653422289j),-42.69461596673519,-179.68372115703303,-31.1899015896063,148.49381956742673,11.504714377128888,,,,,(9.99422021630313e-08-1.0004338941509944e-07j),9.99422021630313e-08,-1.0004338941509944e-07
50,"(2,)",8,3,(-1.3697e-10+1.1306e-09j),(-0.0063426+0.004967j),(2.2204e-10+3.9199e-09j),(-0.018501+0.020701j),,,,,0,(4999499.172000495+5004261.983381472j),-44.887875489029874,-181.88084280066334,-34.14077921502501,147.74006358563835,10.747096274004857,,,,,(9.994297964360222e-08-1.0004758544931572e-07j),9.994297964360222e-08,-1.0004758544931572e-07
51,"(2,)",9,1,(0.17804+6.4534e-09j),(-0.033567-0.14681j),(0.069734-0.048595j),(-0.18047+0.38476j),-0.3,2.5584e-07,3.0,0.053393,0,(-0.18853631386996703-0.8245899729459659j),-23.45904257363236,-17.999948244430108,-10.620175367858678,7.37977287657143,12.838867205773685,-7.6752e-08,0.16017900000000002,44.22774899300156,54.12237987470267,(-0.17320393591199487-0.09999970289521336j),-0.17320393591199487,-0.09999970289521336
52,"(2,)",9,2,(1.3678e-09+5.6033e-10j),(0.0040348+0.0096292j),(5.5488e-09-1.8049e-10j),(0.028635+0.026858j),,,,,0,(4995467.110262281+4993485.82695331j),-42.63599100294861,-179.61609055641856,-31.131384810937874,148.48470574548068,11.504606192010735,,,,,(9.994209405768803e-08-1.0004312073341661e-07j),9.994209405768803e-08,-1.0004312073341661e-07
53,"(2,)",9,3,(-2.5977e-10+1.4229e-09j),(-0.0084161+0.0058317j),(-9.0207e-12+4.9901e-09j),(-0.02501+0.024894j),,,,,0,(5011257.412460246+4999877.476959169j),-42.80505203334178,-179.80442394985843,-32.05786929959457,147.74655465026387,10.747182733747207,,,,,(9.994219736769246e-08-1.0004553933341321e-07j),9.994219736769246e-08,-1.0004553933341321e-07
54,"(3,)",1,1,(0.070879+3.8838e-09j),(-0.027811-0.059812j),(-0.0074439-0.050453j),(-0.093899+0.23708j),-0.3,1.4222e-09,3.0,0.037527,0,(-0.39237296346429784-0.8438606424484246j),-34.73075868585896,-25.999948323514065,-15.056851381264252,10.943096942249817,19.67390730459471,-4.2665999999999995e-10,0.11258099999999999,25.49240062878727,27.723608666111517,(-0.17320422269352612+0.09999832675341407j),-0.17320422269352612,0.09999832675341407
55,"(3,)",1,2,(4.0497e-10-9.1269e-11j),(0.0024802+0.0015699j),(1.2499e-09-9.3509e-10j),(0.010925+0.0015798j),,,,,0,(4996922.978269055+5002751.224297203j),-53.657254117779665,-190.64667264780152,-42.15199497136051,148.494677676441,11.505259146419162,,,,,(9.994060809795071e-08-1.0004358559937229e-07j),9.994060809795071e-08,-1.0004358559937229e-07
56,"(3,)",1,3,(2.3201e-11+1.04e-10j),(-0.00040394+0.00063591j),(1.4199e-10+3.3857e-10j),(-0.00098419+0.0024025j),,,,,0,(4999242.229348799+4999302.105414629j),-65.47026593301848,-202.4587015097406,-54.72329106879556,147.73541044094503,10.746974864222928,,,,,(9.994149903689459e-08-1.0004221599880177e-07j),9.994149903689459e-08,-1.0004221599880177e-07
57,"(3,)",2,1,(0.079527+4.2523e-09j),(-0.030579-0.067526j),(-0.0079161-0.055777j),(-0.10516+0.26131j),-0.3,5.7181e-09,3.0,0.038788,0,(-0.3845109662203749-0.8490952552585164j),-33.82104816513312,-25.000007959544888,-14.192585648787713,10.807422310757175,19.62846251634541,-1.71543e-09,0.11636400000000001,30.010681827193103,32.728250718345016,(-0.17320851724765515+0.09999888130482346j),-0.17320851724765515,0.09999888130482346
58,"(3,)",2,2,(5.2084e-10-1.1598e-10j),(0.0031869+0.0020211j),(1.608e-09-1.2008e-09j),(0.014044+0.0020431j),,,,,0,(5006425.441112147+4995286.887835395j),-51.47484116944979,-188.4660337818417,-39.969528612873674,148.49650516896804,11.505312556576117,,,,,(9.994329008768076e-08-1.0004230532456144e-07j),9.994329008768076e-08,-1.0004230532456144e-07
59,"(3,)",2,3,(3.4729e-11+1.5855e-10j),(-0.00061969+0.00096613j),(2.1406e-10+5.1679e-10j),(-0.0015156+0.0036537j),,,,,0,(4997633.930772497+5003171.420888036j),-61.813047963038635,-198.8034488292937,-51.06610930125746,147.73733952803627,10.746938661781185,,,,,(9.994309179789058e-08-1.0004481756271257e-07j),9.994309179789058e-08,-1.0004481756271257e-07
60,"(3,)",3,1,(0.089231+4.6044e-09j),(-0.03329-0.076431j),(-0.0081856-0.061229j),(-0.11763+0.28559j),-0.3,1.5202e-08,3.0,0.040416,0,(-0.3730766655524243-0.8565520758727998j),-32.95742424742953,-23.99998475475953,-13.39217640867356,10.60780834608597,19.56524783875597,-4.560599999999999e-09,0.121248,34.483166382389804,37.766590175359596,(-0.1732052814686274+0.1000025815300068j),-0.1732052814686274,0.1000025815300068
61,"(3,)",3,2,(6.7017e-10-1.4883e-10j),(0.0040986+0.0026034j),(2.07e-09-1.5435e-09j),(0.018067+0.0026419j),,,,,0,(5006161.437158678+4996444.195789615j),-49.285559395790834,-186.27752646704613,-37.78069448373186,148.49683198331428,11.504864912058977,,,,,(9.99439252300192e-08-1.0004659633946909e-07j),9.99439252300192e-08,-1.0004659633946909e-07
62,"(3,)",3,3,(5.1783e-11+2.4779e-10j),(-0.00098046+0.0014993j),(3.2696e-10+8.095e-10j),(-0.0024158+0.0056815j),,,,,0,(5005205.42726309+5002802.988982464j),-57.94632900662816,-194.94298253836808,-47.19928011075709,147.74370242761103,10.747048895871082,,,,,(9.994099762253116e-08-1.0004355576106853e-07j),9.994099762253116e-08,-1.0004355576106853e-07
63,"(3,)",4,1,(0.10012+4.9246e-09j),(-0.035791-0.08673j),(-0.0081758-0.066634j),(-0.13118+0.30897j),-0.3,3.0742e-08,3.0,0.042378,0,(-0.35748106538140545-0.8662604698316894j),-32.14340717777767,-22.99988313791609,-12.66948381871914,10.33039931919695,19.473923359058524,-9.222599999999999e-09,0.127134,38.596954881605235,42.5392576487643,(-0.17320752977297235+0.10000053000491475j),-0.17320752977297235,0.10000053000491475
64,"(3,)",4,2,(8.407e-10-1.8462e-10j),(0.005127+0.0032789j),(2.6004e-09-1.9265e-09j),(0.022634+0.0033813j),,,,,0,(5000827.699084614+4998397.5375342j),-47.32390509718553,-184.3129324200733,-35.819215940002465,148.49371648007087,11.504689157183067,,,,,(9.994322388644495e-08-1.0004586122325863e-07j),9.994322388644495e-08,-1.0004586122325863e-07
65,"(3,)",4,3,(6.9282e-11+3.8043e-10j),(-0.0015567+0.0022466j),(4.6559e-10+1.248e-09j),(-0.0039169+0.0085667j),,,,,0,(4994568.515209114+5001534.305577157j),-54.27678787921704,-191.26310432488083,-43.52957289572339,147.73353142915744,10.747214983493645,,,,,(9.993831519255883e-08-1.0004300218027172e-07j),9.993831519255883e-08,-1.0004300218027172e-07
